Router ID,MAC Address,Fecha,Horario,Activa,Direccion IP
SFE042-01,1111648,20/11/2022,17:37:05,1,1111111648
CBA071-01,1111359,17/11/2022,18:37:31,1,1111111359
TUC100-01,1111994,10/11/2022,00:46:02,1,1111111994
TUC100-03,1111914,19/11/2022,13:25:41,1,1111111914
TUC100-03,1111925,01/11/2022,02:23:28,1,1111111925
SCR016-02,1111452,16/11/2022,18:14:15,1,1111111452
SCR016-02,1111712,20/11/2022,11:34:12,1,1111111712
BUE089-01,1111658,01/11/2022,02:17:07,1,1111111658
BUE089-08,1111124,20/11/2022,18:55:44,1,1111111124
ERI037-02,1111304,29/11/2022,10:59:39,1,1111111304
CHU008-01,1111181,01/12/2022,19:50:08,1,1111111181
CHU008-01,1111991,28/11/2022,02:34:49,1,1111111991
CHA024-01,1112020,17/11/2022,14:41:37,1,1111112020
LAP075-01,1111526,29/11/2022,06:24:03,1,1111111526
RNO028-01,1111565,23/11/2022,10:56:26,1,1111111565
LAP029-01,1111719,19/11/2022,00:11:31,1,1111111719
LAP029-01,1111979,13/11/2022,14:40:43,1,1111111979
MIS069-01,1111276,20/11/2022,12:32:59,1,1111111276
MIS069-02,1111443,11/11/2022,23:39:05,1,1111111443
MIS069-02,1111470,16/11/2022,08:50:30,1,1111111470
CHA059-02,1111839,20/11/2022,17:02:46,1,1111111839
CHA059-03,1112065,02/11/2022,20:46:24,1,1111112065
BUE007-01,1112015,18/11/2022,14:31:26,1,1111112015
BUE007-02,1111129,02/11/2022,20:06:36,1,1111111129
BUE007-02,1111462,16/11/2022,08:45:09,1,1111111462
CBA171-01,1111569,06/11/2022,15:12:11,1,1111111569
CBA171-03,1111334,13/11/2022,01:16:11,1,1111111334
SFE033-01,1111638,01/12/2022,23:48:33,1,1111111638
SFE033-01,1111922,02/11/2022,14:22:06,1,1111111922
BUE056-04,1111654,16/11/2022,08:09:07,1,1111111654
BUE056-05,1112025,01/11/2022,15:40:36,1,1111112025
CBA415-01,1111508,29/11/2022,09:19:14,1,1111111508
CBA100-03,1111946,01/12/2022,12:16:52,1,1111111946
MIS052-02,1111958,02/12/2022,04:30:40,1,1111111958
CHU028-01,1111730,12/11/2022,21:52:03,1,1111111730
CHU028-01,1111781,30/11/2022,08:33:05,1,1111111781
CHU028-01,1111944,05/11/2022,01:49:44,1,1111111944
CHU028-01,1111988,07/11/2022,01:27:43,1,1111111988
MZA010-01,1111788,12/11/2022,01:25:29,1,1111111788
MZA010-02,1111147,11/11/2022,05:12:43,1,1111111147
BUE031-01,1111330,06/11/2022,06:20:30,1,1111111330
BUE031-02,1111281,06/11/2022,02:45:51,1,1111111281
BUE031-05,1111827,22/11/2022,23:53:06,1,1111111827
BUE031-06,1111113,22/11/2022,00:32:09,1,1111111113
BUE031-06,1111197,14/11/2022,11:56:38,1,1111111197
BUE031-06,1111953,21/11/2022,21:49:38,1,1111111953
CAT003-01,1111446,25/11/2022,05:28:24,1,1111111446
CAT003-02,1111250,29/11/2022,03:54:46,1,1111111250
CAT003-02,1111757,08/11/2022,19:50:59,1,1111111757
CAT003-02,1111829,27/11/2022,06:41:17,1,1111111829
CAT003-02,1112056,01/11/2022,18:34:22,1,1111112056
SAL052-01,1111756,21/11/2022,20:32:04,1,1111111756
BUE101-01,1111672,28/11/2022,20:00:46,1,1111111672
BUE101-05,1111441,08/11/2022,22:14:34,1,1111111441
BUE101-06,1111934,23/11/2022,03:14:30,1,1111111934
BUE101-07,1111975,16/11/2022,16:42:18,1,1111111975
CBA218-02,1111940,10/11/2022,10:22:04,1,1111111940
SJU015-01,1111437,02/11/2022,21:01:21,1,1111111437
BUE066-01,1111170,20/11/2022,04:51:06,1,1111111170
BUE066-02,1111711,02/12/2022,14:43:18,1,1111111711
