municipio_id,provincia_id,id_departamento,municipio,provincia,departamento
CBA384,AR-X,1401,Villa Candelaria Norte,Cordoba,Rio Seco
CBA066,AR-X,1401,,Cordoba,Rio Seco
CBA071,AR-X,1382,Chucul,Cordoba,Rio Cuarto
CBA380,AR-X,1382,,Cordoba,Rio Cuarto
CBA318,AR-X,1382,,Cordoba,Rio Cuarto
CBA277,AR-X,1388,,Cordoba,Tercero Arriba
CBA157,AR-X,1388,,Cordoba,Tercero Arriba
CBA364,AR-X,1388,,Cordoba,Tercero Arriba
CBA234,AR-X,1388,,Cordoba,Tercero Arriba
CBA308,AR-X,1388,,Cordoba,Tercero Arriba
CBA148,AR-X,1388,,Cordoba,Tercero Arriba
CBA218,AR-X,1396,La Falda,Cordoba,Punilla
CBA171,AR-X,1396,,Cordoba,Punilla
CBA222,AR-X,1396,,Cordoba,Punilla
CBA405,AR-X,1396,,Cordoba,Punilla
CBA415,AR-X,1391,,Cordoba,Calamuchita
CBA052,AR-X,1391,,Cordoba,Calamuchita
CBA404,AR-X,1391,,Cordoba,Calamuchita
CBA231,AR-X,1391,,Cordoba,Calamuchita
CBA168,AR-X,1391,,Cordoba,Calamuchita
CBA329,AR-X,1391,,Cordoba,Calamuchita
CBA223,AR-X,1391,,Cordoba,Calamuchita
CBA100,AR-X,1406,,Cordoba,Capital
CBA307,AR-X,1398,,Cordoba,Rio Segundo
CBA106,AR-X,1398,,Cordoba,Rio Segundo
CBA397,AR-X,1398,,Cordoba,Rio Segundo
CBA301,AR-X,1398,,Cordoba,Rio Segundo
CBA290,AR-X,1398,,Cordoba,Rio Segundo
CBA042,AR-X,1398,,Cordoba,Rio Segundo
CBA218,AR-X,1386,,Cordoba,Marcos Juarez
CBA107,AR-X,1386,,Cordoba,Marcos Juarez
CBA154,AR-X,1386,,Cordoba,Marcos Juarez
CBA246,AR-X,1386,,Cordoba,Marcos Juarez
CBA155,AR-X,1386,,Cordoba,Marcos Juarez
CBA357,AR-X,1393,,Cordoba,General San Martin
CBA366,AR-X,1393,,Cordoba,General San Martin
CBA411,AR-X,1393,,Cordoba,General San Martin
CBA233,AR-X,1402,,Cordoba,Pocho
CBA206,AR-X,1402,,Cordoba,Pocho
CBA296,AR-X,1395,,Cordoba,Ischilin
CBA051,AR-X,1395,,Cordoba,Ischilin
CBA207,AR-X,1400,,Cordoba,Totoral
CBA398,AR-X,1400,,Cordoba,Totoral
CBA359,AR-X,1400,,Cordoba,Totoral
CBA398,AR-X,1383,Villa Allende,Cordoba,Colon
CBA087,AR-X,1383,Jesus Maria,Cordoba,Colon
CBA381,AR-X,1383,,Cordoba,Colon
CBA158,AR-X,1383,,Cordoba,Colon
CBA317,AR-X,1383,,Cordoba,Colon
CBA315,AR-X,1383,,Cordoba,Colon
CBA376,AR-X,1383,,Cordoba,Colon
CBA083,AR-X,1383,,Cordoba,Colon
CBA014,AR-X,1387,,Cordoba,San Justo
CBA091,AR-X,1387,,Cordoba,San Justo
CBA264,AR-X,1387,,Cordoba,San Justo
CBA095,AR-X,1387,,Cordoba,San Justo
CBA087,AR-X,1387,,Cordoba,San Justo
CBA038,AR-X,1387,,Cordoba,San Justo
CBA311,AR-X,1387,,Cordoba,San Justo
CBA419,AR-X,1389,,Cordoba,Santa Maria
CBA011,AR-X,1389,,Cordoba,Santa Maria
CBA221,AR-X,1385,,Cordoba,Juarez Celman
CBA140,AR-X,1385,,Cordoba,Juarez Celman
CBA193,AR-X,1407,,Cordoba,Presidente Roque Saenz Pena
